Timestep: 0-0, Program time: 0 s, Sim. time: 0 TU, Active/Total Cells: 1356/2198
Timestep: 0-544, Program time: 0.555315 s, Sim. time: 0.272 TU, Active/Total Cells: 826/1720
Timestep: 0-546, Program time: 0.556991 s, Sim. time: 0.273 TU, Active/Total Cells: 824/1722
Timestep: 0-548, Program time: 0.558893 s, Sim. time: 0.274 TU, Active/Total Cells: 826/1729
Timestep: 0-550, Program time: 0.56058 s, Sim. time: 0.275 TU, Active/Total Cells: 835/1746
Timestep: 0-552, Program time: 0.562218 s, Sim. time: 0.276 TU, Active/Total Cells: 839/1741
Timestep: 0-554, Program time: 0.564196 s, Sim. time: 0.277 TU, Active/Total Cells: 838/1745
Timestep: 0-556, Program time: 0.565589 s, Sim. time: 0.278 TU, Active/Total Cells: 834/1738
Timestep: 0-558, Program time: 0.567333 s, Sim. time: 0.279 TU, Active/Total Cells: 837/1747
Timestep: 0-560, Program time: 0.569148 s, Sim. time: 0.28 TU, Active/Total Cells: 837/1758
Timestep: 0-562, Program time: 0.570474 s, Sim. time: 0.281 TU, Active/Total Cells: 830/1750
Timestep: 0-564, Program time: 0.571923 s, Sim. time: 0.282 TU, Active/Total Cells: 823/1731
Timestep: 0-566, Program time: 0.573241 s, Sim. time: 0.283 TU, Active/Total Cells: 823/1727
Timestep: 0-568, Program time: 0.57477 s, Sim. time: 0.284 TU, Active/Total Cells: 827/1734
Timestep: 0-570, Program time: 0.576592 s, Sim. time: 0.285 TU, Active/Total Cells: 824/1740
Timestep: 0-572, Program time: 0.578042 s, Sim. time: 0.286 TU, Active/Total Cells: 824/1738
Timestep: 0-574, Program time: 0.579819 s, Sim. time: 0.287 TU, Active/Total Cells: 830/1749
Timestep: 0-576, Program time: 0.581198 s, Sim. time: 0.288 TU, Active/Total Cells: 821/1726
Timestep: 0-578, Program time: 0.582922 s, Sim. time: 0.289 TU, Active/Total Cells: 815/1730
Timestep: 0-580, Program time: 0.584432 s, Sim. time: 0.29 TU, Active/Total Cells: 809/1724
Timestep: 0-582, Program time: 0.585956 s, Sim. time: 0.291 TU, Active/Total Cells: 814/1728
Timestep: 0-584, Program time: 0.587756 s, Sim. time: 0.292 TU, Active/Total Cells: 816/1742
Timestep: 0-586, Program time: 0.589473 s, Sim. time: 0.293 TU, Active/Total Cells: 817/1741
Timestep: 0-588, Program time: 0.591024 s, Sim. time: 0.294 TU, Active/Total Cells: 820/1750
Timestep: 0-590, Program time: 0.592435 s, Sim. time: 0.295 TU, Active/Total Cells: 821/1749
Timestep: 0-592, Program time: 0.594027 s, Sim. time: 0.296 TU, Active/Total Cells: 820/1741
Timestep: 0-594, Program time: 0.59588 s, Sim. time: 0.297 TU, Active/Total Cells: 833/1763
Timestep: 0-596, Program time: 0.597617 s, Sim. time: 0.298 TU, Active/Total Cells: 831/1766
Timestep: 0-598, Program time: 0.599209 s, Sim. time: 0.299 TU, Active/Total Cells: 828/1759
Timestep: 0-600, Program time: 0.600266 s, Sim. time: 0.3 TU, Active/Total Cells: 822/1752
Timestep: 0-602, Program time: 0.601768 s, Sim. time: 0.301 TU, Active/Total Cells: 822/1747
Timestep: 0-604, Program time: 0.603256 s, Sim. time: 0.302 TU, Active/Total Cells: 814/1740
Timestep: 0-606, Program time: 0.604946 s, Sim. time: 0.303 TU, Active/Total Cells: 813/1741
Timestep: 0-608, Program time: 0.606442 s, Sim. time: 0.304 TU, Active/Total Cells: 817/1743
Timestep: 0-610, Program time: 0.608238 s, Sim. time: 0.305 TU, Active/Total Cells: 823/1743
Timestep: 0-612, Program time: 0.609841 s, Sim. time: 0.306 TU, Active/Total Cells: 832/1757
Timestep: 0-614, Program time: 0.611309 s, Sim. time: 0.307 TU, Active/Total Cells: 834/1762
Timestep: 0-616, Program time: 0.612982 s, Sim. time: 0.308 TU, Active/Total Cells: 824/1750
Timestep: 0-618, Program time: 0.614815 s, Sim. time: 0.309 TU, Active/Total Cells: 825/1760
Timestep: 0-620, Program time: 0.616404 s, Sim. time: 0.31 TU, Active/Total Cells: 824/1755
Timestep: 0-622, Program time: 0.61784 s, Sim. time: 0.311 TU, Active/Total Cells: 818/1741
Timestep: 0-624, Program time: 0.619256 s, Sim. time: 0.312 TU, Active/Total Cells: 815/1740
Timestep: 0-626, Program time: 0.620735 s, Sim. time: 0.313 TU, Active/Total Cells: 813/1740
Timestep: 0-628, Program time: 0.622277 s, Sim. time: 0.314 TU, Active/Total Cells: 809/1747
Timestep: 0-630, Program time: 0.624241 s, Sim. time: 0.315 TU, Active/Total Cells: 812/1755
Timestep: 0-632, Program time: 0.626001 s, Sim. time: 0.316 TU, Active/Total Cells: 817/1764
Timestep: 0-634, Program time: 0.627716 s, Sim. time: 0.317 TU, Active/Total Cells: 818/1762
Timestep: 0-636, Program time: 0.629271 s, Sim. time: 0.318 TU, Active/Total Cells: 825/1771
Timestep: 0-638, Program time: 0.630846 s, Sim. time: 0.319 TU, Active/Total Cells: 822/1766
Timestep: 0-640, Program time: 0.632395 s, Sim. time: 0.32 TU, Active/Total Cells: 820/1760
Timestep: 0-642, Program time: 0.633952 s, Sim. time: 0.321 TU, Active/Total Cells: 820/1765
Timestep: 0-644, Program time: 0.635712 s, Sim. time: 0.322 TU, Active/Total Cells: 818/1771
Timestep: 0-646, Program time: 0.637447 s, Sim. time: 0.323 TU, Active/Total Cells: 822/1779
Timestep: 0-648, Program time: 0.638904 s, Sim. time: 0.324 TU, Active/Total Cells: 821/1777
Timestep: 0-650, Program time: 0.640167 s, Sim. time: 0.325 TU, Active/Total Cells: 820/1776
Timestep: 0-652, Program time: 0.641501 s, Sim. time: 0.326 TU, Active/Total Cells: 811/1764
Timestep: 0-654, Program time: 0.642899 s, Sim. time: 0.327 TU, Active/Total Cells: 804/1755
Timestep: 0-656, Program time: 0.644648 s, Sim. time: 0.328 TU, Active/Total Cells: 807/1761
Timestep: 0-658, Program time: 0.646426 s, Sim. time: 0.329 TU, Active/Total Cells: 810/1759
Timestep: 0-660, Program time: 0.648026 s, Sim. time: 0.33 TU, Active/Total Cells: 809/1752
Timestep: 0-662, Program time: 0.649755 s, Sim. time: 0.331 TU, Active/Total Cells: 816/1764
Timestep: 0-664, Program time: 0.651038 s, Sim. time: 0.332 TU, Active/Total Cells: 811/1755
Timestep: 0-666, Program time: 0.652679 s, Sim. time: 0.333 TU, Active/Total Cells: 813/1765
Timestep: 0-668, Program time: 0.654223 s, Sim. time: 0.334 TU, Active/Total Cells: 806/1758
Timestep: 0-670, Program time: 0.656084 s, Sim. time: 0.335 TU, Active/Total Cells: 807/1764
Timestep: 0-672, Program time: 0.65779 s, Sim. time: 0.336 TU, Active/Total Cells: 811/1772
Timestep: 0-674, Program time: 0.659182 s, Sim. time: 0.337 TU, Active/Total Cells: 813/1767
Timestep: 0-676, Program time: 0.660991 s, Sim. time: 0.338 TU, Active/Total Cells: 821/1786
Timestep: 0-678, Program time: 0.662417 s, Sim. time: 0.339 TU, Active/Total Cells: 819/1786
Timestep: 0-680, Program time: 0.664135 s, Sim. time: 0.34 TU, Active/Total Cells: 826/1795
Timestep: 0-682, Program time: 0.665732 s, Sim. time: 0.341 TU, Active/Total Cells: 825/1794
Timestep: 0-684, Program time: 0.667454 s, Sim. time: 0.342 TU, Active/Total Cells: 817/1796
Timestep: 0-686, Program time: 0.669314 s, Sim. time: 0.343 TU, Active/Total Cells: 817/1790
Timestep: 0-688, Program time: 0.670788 s, Sim. time: 0.344 TU, Active/Total Cells: 812/1774
Timestep: 0-690, Program time: 0.672518 s, Sim. time: 0.345 TU, Active/Total Cells: 816/1783
Timestep: 0-692, Program time: 0.67369 s, Sim. time: 0.346 TU, Active/Total Cells: 816/1785
Timestep: 0-694, Program time: 0.675387 s, Sim. time: 0.347 TU, Active/Total Cells: 821/1792
Timestep: 0-696, Program time: 0.676906 s, Sim. time: 0.348 TU, Active/Total Cells: 820/1802
Timestep: 0-698, Program time: 0.678439 s, Sim. time: 0.349 TU, Active/Total Cells: 815/1795
Timestep: 0-700, Program time: 0.679878 s, Sim. time: 0.35 TU, Active/Total Cells: 812/1786
Timestep: 0-702, Program time: 0.681522 s, Sim. time: 0.351 TU, Active/Total Cells: 814/1783
Timestep: 0-704, Program time: 0.683117 s, Sim. time: 0.352 TU, Active/Total Cells: 813/1782
Timestep: 0-706, Program time: 0.684569 s, Sim. time: 0.353 TU, Active/Total Cells: 815/1789
Timestep: 0-708, Program time: 0.686108 s, Sim. time: 0.354 TU, Active/Total Cells: 809/1785
Timestep: 0-710, Program time: 0.687769 s, Sim. time: 0.355 TU, Active/Total Cells: 805/1794
Timestep: 0-712, Program time: 0.689617 s, Sim. time: 0.356 TU, Active/Total Cells: 810/1808
Timestep: 0-714, Program time: 0.691416 s, Sim. time: 0.357 TU, Active/Total Cells: 820/1825
Timestep: 0-716, Program time: 0.692878 s, Sim. time: 0.358 TU, Active/Total Cells: 816/1813
Timestep: 0-718, Program time: 0.694474 s, Sim. time: 0.359 TU, Active/Total Cells: 824/1828
Timestep: 0-720, Program time: 0.695834 s, Sim. time: 0.36 TU, Active/Total Cells: 819/1818
Timestep: 0-722, Program time: 0.697448 s, Sim. time: 0.361 TU, Active/Total Cells: 816/1816
Timestep: 0-724, Program time: 0.699535 s, Sim. time: 0.362 TU, Active/Total Cells: 819/1830
Timestep: 0-726, Program time: 0.700903 s, Sim. time: 0.363 TU, Active/Total Cells: 814/1828
Timestep: 0-728, Program time: 0.702553 s, Sim. time: 0.364 TU, Active/Total Cells: 817/1835
Timestep: 0-730, Program time: 0.7041 s, Sim. time: 0.365 TU, Active/Total Cells: 817/1839
Timestep: 0-732, Program time: 0.705636 s, Sim. time: 0.366 TU, Active/Total Cells: 813/1831
Timestep: 0-734, Program time: 0.707212 s, Sim. time: 0.367 TU, Active/Total Cells: 817/1834
Timestep: 0-736, Program time: 0.708963 s, Sim. time: 0.368 TU, Active/Total Cells: 819/1838
Timestep: 0-738, Program time: 0.71031 s, Sim. time: 0.369 TU, Active/Total Cells: 819/1836
Timestep: 0-740, Program time: 0.71211 s, Sim. time: 0.37 TU, Active/Total Cells: 818/1845
Timestep: 0-742, Program time: 0.713623 s, Sim. time: 0.371 TU, Active/Total Cells: 819/1847
Timestep: 0-744, Program time: 0.715477 s, Sim. time: 0.372 TU, Active/Total Cells: 817/1846
Timestep: 0-746, Program time: 0.71727 s, Sim. time: 0.373 TU, Active/Total Cells: 817/1844
Timestep: 0-748, Program time: 0.718983 s, Sim. time: 0.374 TU, Active/Total Cells: 817/1840
Timestep: 0-750, Program time: 0.720401 s, Sim. time: 0.375 TU, Active/Total Cells: 814/1831
Timestep: 0-752, Program time: 0.722371 s, Sim. time: 0.376 TU, Active/Total Cells: 819/1852
Timestep: 0-754, Program time: 0.724399 s, Sim. time: 0.377 TU, Active/Total Cells: 829/1867
Timestep: 0-756, Program time: 0.725849 s, Sim. time: 0.378 TU, Active/Total Cells: 829/1868
Timestep: 0-758, Program time: 0.727729 s, Sim. time: 0.379 TU, Active/Total Cells: 827/1878
Timestep: 0-760, Program time: 0.728937 s, Sim. time: 0.38 TU, Active/Total Cells: 822/1873
Timestep: 0-762, Program time: 0.730641 s, Sim. time: 0.381 TU, Active/Total Cells: 830/1890
Timestep: 0-764, Program time: 0.732359 s, Sim. time: 0.382 TU, Active/Total Cells: 826/1882
Timestep: 0-766, Program time: 0.73386 s, Sim. time: 0.383 TU, Active/Total Cells: 824/1876
Timestep: 0-768, Program time: 0.735105 s, Sim. time: 0.384 TU, Active/Total Cells: 814/1866
Timestep: 0-770, Program time: 0.73692 s, Sim. time: 0.385 TU, Active/Total Cells: 823/1882
Timestep: 0-772, Program time: 0.738227 s, Sim. time: 0.386 TU, Active/Total Cells: 822/1877
Timestep: 0-774, Program time: 0.7401 s, Sim. time: 0.387 TU, Active/Total Cells: 826/1883
Timestep: 0-776, Program time: 0.741836 s, Sim. time: 0.388 TU, Active/Total Cells: 824/1882
Timestep: 0-778, Program time: 0.743479 s, Sim. time: 0.389 TU, Active/Total Cells: 829/1891
Timestep: 0-780, Program time: 0.745438 s, Sim. time: 0.39 TU, Active/Total Cells: 831/1908
Timestep: 0-782, Program time: 0.746645 s, Sim. time: 0.391 TU, Active/Total Cells: 826/1906
Timestep: 0-784, Program time: 0.748364 s, Sim. time: 0.392 TU, Active/Total Cells: 827/1903
Timestep: 0-786, Program time: 0.750029 s, Sim. time: 0.393 TU, Active/Total Cells: 828/1896
Timestep: 0-788, Program time: 0.751815 s, Sim. time: 0.394 TU, Active/Total Cells: 833/1903
Timestep: 0-790, Program time: 0.753154 s, Sim. time: 0.395 TU, Active/Total Cells: 834/1899
Timestep: 0-792, Program time: 0.75523 s, Sim. time: 0.396 TU, Active/Total Cells: 845/1923
Timestep: 0-794, Program time: 0.756826 s, Sim. time: 0.397 TU, Active/Total Cells: 849/1930
Timestep: 0-796, Program time: 0.758226 s, Sim. time: 0.398 TU, Active/Total Cells: 838/1917
Timestep: 0-798, Program time: 0.759789 s, Sim. time: 0.399 TU, Active/Total Cells: 835/1915
Timestep: 0-800, Program time: 0.761533 s, Sim. time: 0.4 TU, Active/Total Cells: 840/1928
Timestep: 0-802, Program time: 0.765234 s, Sim. time: 0.401 TU, Active/Total Cells: 842/1934
Timestep: 0-804, Program time: 0.766799 s, Sim. time: 0.402 TU, Active/Total Cells: 846/1942
Timestep: 0-806, Program time: 0.76834 s, Sim. time: 0.403 TU, Active/Total Cells: 845/1933
Timestep: 0-808, Program time: 0.770029 s, Sim. time: 0.404 TU, Active/Total Cells: 842/1934
Timestep: 0-810, Program time: 0.771517 s, Sim. time: 0.405 TU, Active/Total Cells: 842/1944
Timestep: 0-812, Program time: 0.773139 s, Sim. time: 0.406 TU, Active/Total Cells: 842/1945
Timestep: 0-814, Program time: 0.774593 s, Sim. time: 0.407 TU, Active/Total Cells: 845/1948
Timestep: 0-816, Program time: 0.775676 s, Sim. time: 0.408 TU, Active/Total Cells: 837/1941
Timestep: 0-818, Program time: 0.776936 s, Sim. time: 0.409 TU, Active/Total Cells: 830/1938
Timestep: 0-820, Program time: 0.778635 s, Sim. time: 0.41 TU, Active/Total Cells: 836/1940
Timestep: 0-822, Program time: 0.780471 s, Sim. time: 0.411 TU, Active/Total Cells: 842/1946
Timestep: 0-824, Program time: 0.782497 s, Sim. time: 0.412 TU, Active/Total Cells: 844/1950
Timestep: 0-826, Program time: 0.784039 s, Sim. time: 0.413 TU, Active/Total Cells: 843/1949
Timestep: 0-828, Program time: 0.786126 s, Sim. time: 0.414 TU, Active/Total Cells: 844/1964
Timestep: 0-830, Program time: 0.787908 s, Sim. time: 0.415 TU, Active/Total Cells: 844/1960
Timestep: 0-832, Program time: 0.789278 s, Sim. time: 0.416 TU, Active/Total Cells: 846/1966
Timestep: 0-834, Program time: 0.790822 s, Sim. time: 0.417 TU, Active/Total Cells: 843/1965
Timestep: 0-836, Program time: 0.79237 s, Sim. time: 0.418 TU, Active/Total Cells: 846/1968
Timestep: 0-838, Program time: 0.794629 s, Sim. time: 0.419 TU, Active/Total Cells: 861/2001
Timestep: 0-840, Program time: 0.796247 s, Sim. time: 0.42 TU, Active/Total Cells: 861/2003
Timestep: 0-842, Program time: 0.797927 s, Sim. time: 0.421 TU, Active/Total Cells: 864/2007
Timestep: 0-844, Program time: 0.799693 s, Sim. time: 0.422 TU, Active/Total Cells: 869/2021
Timestep: 0-846, Program time: 0.801364 s, Sim. time: 0.423 TU, Active/Total Cells: 874/2029
Timestep: 0-848, Program time: 0.802741 s, Sim. time: 0.424 TU, Active/Total Cells: 867/2023
Timestep: 0-850, Program time: 0.804569 s, Sim. time: 0.425 TU, Active/Total Cells: 863/2018
Timestep: 0-852, Program time: 0.806038 s, Sim. time: 0.426 TU, Active/Total Cells: 860/2012
Timestep: 0-854, Program time: 0.807766 s, Sim. time: 0.427 TU, Active/Total Cells: 854/2006
Timestep: 0-856, Program time: 0.809472 s, Sim. time: 0.428 TU, Active/Total Cells: 854/2009
Timestep: 0-858, Program time: 0.811257 s, Sim. time: 0.429 TU, Active/Total Cells: 859/2013
Timestep: 0-860, Program time: 0.812791 s, Sim. time: 0.43 TU, Active/Total Cells: 859/2015
Timestep: 0-862, Program time: 0.814904 s, Sim. time: 0.431 TU, Active/Total Cells: 867/2032
Timestep: 0-864, Program time: 0.816808 s, Sim. time: 0.432 TU, Active/Total Cells: 873/2038
Timestep: 0-866, Program time: 0.818709 s, Sim. time: 0.433 TU, Active/Total Cells: 877/2048
Timestep: 0-868, Program time: 0.820042 s, Sim. time: 0.434 TU, Active/Total Cells: 878/2052
Timestep: 0-870, Program time: 0.821692 s, Sim. time: 0.435 TU, Active/Total Cells: 872/2050
Timestep: 0-872, Program time: 0.823839 s, Sim. time: 0.436 TU, Active/Total Cells: 877/2065
Timestep: 0-874, Program time: 0.82551 s, Sim. time: 0.437 TU, Active/Total Cells: 876/2068
Timestep: 0-876, Program time: 0.827636 s, Sim. time: 0.438 TU, Active/Total Cells: 878/2077
Timestep: 0-878, Program time: 0.829326 s, Sim. time: 0.439 TU, Active/Total Cells: 879/2069
Timestep: 0-880, Program time: 0.831129 s, Sim. time: 0.44 TU, Active/Total Cells: 880/2077
Timestep: 0-882, Program time: 0.8328 s, Sim. time: 0.441 TU, Active/Total Cells: 870/2059
Timestep: 0-884, Program time: 0.834472 s, Sim. time: 0.442 TU, Active/Total Cells: 869/2060
Timestep: 0-886, Program time: 0.836302 s, Sim. time: 0.443 TU, Active/Total Cells: 874/2063
Timestep: 0-888, Program time: 0.838135 s, Sim. time: 0.444 TU, Active/Total Cells: 878/2067
Timestep: 0-890, Program time: 0.839703 s, Sim. time: 0.445 TU, Active/Total Cells: 874/2064
Timestep: 0-892, Program time: 0.841494 s, Sim. time: 0.446 TU, Active/Total Cells: 881/2080
Timestep: 0-894, Program time: 0.843482 s, Sim. time: 0.447 TU, Active/Total Cells: 885/2087
Timestep: 0-896, Program time: 0.845042 s, Sim. time: 0.448 TU, Active/Total Cells: 885/2091
Timestep: 0-898, Program time: 0.847067 s, Sim. time: 0.449 TU, Active/Total Cells: 890/2109
Timestep: 0-900, Program time: 0.849075 s, Sim. time: 0.45 TU, Active/Total Cells: 892/2111
Timestep: 0-902, Program time: 0.85117 s, Sim. time: 0.451 TU, Active/Total Cells: 901/2132
Timestep: 0-904, Program time: 0.85271 s, Sim. time: 0.452 TU, Active/Total Cells: 897/2133
Timestep: 0-906, Program time: 0.854519 s, Sim. time: 0.453 TU, Active/Total Cells: 897/2140
Timestep: 0-908, Program time: 0.85618 s, Sim. time: 0.454 TU, Active/Total Cells: 894/2126
Timestep: 0-910, Program time: 0.857839 s, Sim. time: 0.455 TU, Active/Total Cells: 897/2130
Timestep: 0-912, Program time: 0.859797 s, Sim. time: 0.456 TU, Active/Total Cells: 900/2135
Timestep: 0-914, Program time: 0.861774 s, Sim. time: 0.457 TU, Active/Total Cells: 904/2149
Timestep: 0-916, Program time: 0.863452 s, Sim. time: 0.458 TU, Active/Total Cells: 899/2148
Timestep: 0-918, Program time: 0.865178 s, Sim. time: 0.459 TU, Active/Total Cells: 900/2150
Timestep: 0-920, Program time: 0.866783 s, Sim. time: 0.46 TU, Active/Total Cells: 898/2145
Timestep: 0-922, Program time: 0.868839 s, Sim. time: 0.461 TU, Active/Total Cells: 897/2145
Timestep: 0-924, Program time: 0.870408 s, Sim. time: 0.462 TU, Active/Total Cells: 899/2151
Timestep: 0-926, Program time: 0.872456 s, Sim. time: 0.463 TU, Active/Total Cells: 904/2156
Timestep: 0-928, Program time: 0.874266 s, Sim. time: 0.464 TU, Active/Total Cells: 909/2166
Timestep: 0-930, Program time: 0.875972 s, Sim. time: 0.465 TU, Active/Total Cells: 909/2168
Timestep: 0-932, Program time: 0.877949 s, Sim. time: 0.466 TU, Active/Total Cells: 912/2173
Timestep: 0-934, Program time: 0.879984 s, Sim. time: 0.467 TU, Active/Total Cells: 912/2177
Timestep: 0-936, Program time: 0.881962 s, Sim. time: 0.468 TU, Active/Total Cells: 917/2185
Timestep: 0-938, Program time: 0.883574 s, Sim. time: 0.469 TU, Active/Total Cells: 917/2190
Timestep: 0-940, Program time: 0.88574 s, Sim. time: 0.47 TU, Active/Total Cells: 923/2203
Timestep: 0-942, Program time: 0.887419 s, Sim. time: 0.471 TU, Active/Total Cells: 919/2201
Timestep: 0-944, Program time: 0.889577 s, Sim. time: 0.472 TU, Active/Total Cells: 924/2212
Timestep: 0-946, Program time: 0.891843 s, Sim. time: 0.473 TU, Active/Total Cells: 930/2229
Timestep: 0-948, Program time: 0.893964 s, Sim. time: 0.474 TU, Active/Total Cells: 934/2234
Timestep: 0-950, Program time: 0.895778 s, Sim. time: 0.475 TU, Active/Total Cells: 930/2243
Timestep: 0-952, Program time: 0.89779 s, Sim. time: 0.476 TU, Active/Total Cells: 933/2239
Timestep: 0-954, Program time: 0.899648 s, Sim. time: 0.477 TU, Active/Total Cells: 936/2245
Timestep: 0-956, Program time: 0.901455 s, Sim. time: 0.478 TU, Active/Total Cells: 943/2257
Timestep: 0-958, Program time: 0.903321 s, Sim. time: 0.479 TU, Active/Total Cells: 947/2256
Timestep: 0-960, Program time: 0.90479 s, Sim. time: 0.48 TU, Active/Total Cells: 937/2241
Timestep: 0-962, Program time: 0.907047 s, Sim. time: 0.481 TU, Active/Total Cells: 938/2255
Timestep: 0-964, Program time: 0.908907 s, Sim. time: 0.482 TU, Active/Total Cells: 937/2257
Timestep: 0-966, Program time: 0.911214 s, Sim. time: 0.483 TU, Active/Total Cells: 940/2269
Timestep: 0-968, Program time: 0.913291 s, Sim. time: 0.484 TU, Active/Total Cells: 942/2277
Timestep: 0-970, Program time: 0.915072 s, Sim. time: 0.485 TU, Active/Total Cells: 940/2275
Timestep: 0-972, Program time: 0.917073 s, Sim. time: 0.486 TU, Active/Total Cells: 944/2285
Timestep: 0-974, Program time: 0.91874 s, Sim. time: 0.487 TU, Active/Total Cells: 945/2282
Timestep: 0-976, Program time: 0.920608 s, Sim. time: 0.488 TU, Active/Total Cells: 952/2291
Timestep: 0-978, Program time: 0.922629 s, Sim. time: 0.489 TU, Active/Total Cells: 954/2294
Timestep: 0-980, Program time: 0.924704 s, Sim. time: 0.49 TU, Active/Total Cells: 957/2299
Timestep: 0-982, Program time: 0.926637 s, Sim. time: 0.491 TU, Active/Total Cells: 961/2307
Timestep: 0-984, Program time: 0.929014 s, Sim. time: 0.492 TU, Active/Total Cells: 966/2324
Timestep: 0-986, Program time: 0.931008 s, Sim. time: 0.493 TU, Active/Total Cells: 968/2324
Timestep: 0-988, Program time: 0.933454 s, Sim. time: 0.494 TU, Active/Total Cells: 968/2322
Timestep: 0-990, Program time: 0.935805 s, Sim. time: 0.495 TU, Active/Total Cells: 975/2333
Timestep: 0-992, Program time: 0.938634 s, Sim. time: 0.496 TU, Active/Total Cells: 979/2354
Timestep: 0-994, Program time: 0.941042 s, Sim. time: 0.497 TU, Active/Total Cells: 986/2370
Timestep: 0-996, Program time: 0.943523 s, Sim. time: 0.498 TU, Active/Total Cells: 998/2396
Timestep: 0-998, Program time: 0.945612 s, Sim. time: 0.499 TU, Active/Total Cells: 1004/2406
Timestep: 0-1000, Program time: 0.947575 s, Sim. time: 0.5 TU, Active/Total Cells: 1007/2405
Timestep: 0-1002, Program time: 0.949387 s, Sim. time: 0.501 TU, Active/Total Cells: 1004/2406
Timestep: 0-1004, Program time: 0.951288 s, Sim. time: 0.502 TU, Active/Total Cells: 1003/2407
Timestep: 0-1006, Program time: 0.953438 s, Sim. time: 0.503 TU, Active/Total Cells: 1005/2413
Timestep: 0-1008, Program time: 0.955782 s, Sim. time: 0.504 TU, Active/Total Cells: 1004/2408
Timestep: 0-1010, Program time: 0.958052 s, Sim. time: 0.505 TU, Active/Total Cells: 1005/2419
Timestep: 0-1012, Program time: 0.960044 s, Sim. time: 0.506 TU, Active/Total Cells: 1007/2424
Timestep: 0-1014, Program time: 0.961651 s, Sim. time: 0.507 TU, Active/Total Cells: 1003/2409
Timestep: 0-1016, Program time: 0.964208 s, Sim. time: 0.508 TU, Active/Total Cells: 1012/2430
Timestep: 0-1018, Program time: 0.966629 s, Sim. time: 0.509 TU, Active/Total Cells: 1014/2447
Timestep: 0-1020, Program time: 0.968619 s, Sim. time: 0.51 TU, Active/Total Cells: 1004/2443
Timestep: 0-1022, Program time: 0.971334 s, Sim. time: 0.511 TU, Active/Total Cells: 1016/2464
Timestep: 0-1024, Program time: 0.973667 s, Sim. time: 0.512 TU, Active/Total Cells: 1023/2466
Timestep: 0-1026, Program time: 0.975729 s, Sim. time: 0.513 TU, Active/Total Cells: 1028/2474
Timestep: 0-1028, Program time: 0.977638 s, Sim. time: 0.514 TU, Active/Total Cells: 1028/2472
Timestep: 0-1030, Program time: 0.97977 s, Sim. time: 0.515 TU, Active/Total Cells: 1035/2487
Timestep: 0-1032, Program time: 0.981761 s, Sim. time: 0.516 TU, Active/Total Cells: 1039/2489
Timestep: 0-1034, Program time: 0.98456 s, Sim. time: 0.517 TU, Active/Total Cells: 1045/2512
Timestep: 0-1036, Program time: 0.986713 s, Sim. time: 0.518 TU, Active/Total Cells: 1047/2508
Timestep: 0-1038, Program time: 0.989031 s, Sim. time: 0.519 TU, Active/Total Cells: 1051/2514
Timestep: 0-1040, Program time: 0.99145 s, Sim. time: 0.52 TU, Active/Total Cells: 1055/2527
Timestep: 0-1042, Program time: 0.993727 s, Sim. time: 0.521 TU, Active/Total Cells: 1057/2526
Timestep: 0-1044, Program time: 0.996234 s, Sim. time: 0.522 TU, Active/Total Cells: 1056/2527
Timestep: 0-1046, Program time: 0.998508 s, Sim. time: 0.523 TU, Active/Total Cells: 1059/2536
Timestep: 0-1048, Program time: 1.00133 s, Sim. time: 0.524 TU, Active/Total Cells: 1071/2550
Timestep: 0-1050, Program time: 1.00386 s, Sim. time: 0.525 TU, Active/Total Cells: 1075/2571
Timestep: 0-1052, Program time: 1.00705 s, Sim. time: 0.526 TU, Active/Total Cells: 1076/2589
Timestep: 0-1054, Program time: 1.00939 s, Sim. time: 0.527 TU, Active/Total Cells: 1080/2599
Timestep: 0-1056, Program time: 1.01204 s, Sim. time: 0.528 TU, Active/Total Cells: 1090/2612
Timestep: 0-1058, Program time: 1.01422 s, Sim. time: 0.529 TU, Active/Total Cells: 1089/2612
Timestep: 0-1060, Program time: 1.01682 s, Sim. time: 0.53 TU, Active/Total Cells: 1098/2629
Timestep: 0-1062, Program time: 1.01906 s, Sim. time: 0.531 TU, Active/Total Cells: 1100/2631
Timestep: 0-1064, Program time: 1.02125 s, Sim. time: 0.532 TU, Active/Total Cells: 1102/2639
Timestep: 0-1066, Program time: 1.02377 s, Sim. time: 0.533 TU, Active/Total Cells: 1103/2649
Timestep: 0-1068, Program time: 1.02608 s, Sim. time: 0.534 TU, Active/Total Cells: 1109/2660
Timestep: 0-1070, Program time: 1.02832 s, Sim. time: 0.535 TU, Active/Total Cells: 1114/2670
Timestep: 0-1072, Program time: 1.03091 s, Sim. time: 0.536 TU, Active/Total Cells: 1122/2692
Timestep: 0-1074, Program time: 1.0332 s, Sim. time: 0.537 TU, Active/Total Cells: 1119/2682
Timestep: 0-1076, Program time: 1.03599 s, Sim. time: 0.538 TU, Active/Total Cells: 1117/2682
Timestep: 0-1078, Program time: 1.03877 s, Sim. time: 0.539 TU, Active/Total Cells: 1124/2690
Timestep: 0-1080, Program time: 1.04085 s, Sim. time: 0.54 TU, Active/Total Cells: 1121/2683
Timestep: 0-1082, Program time: 1.04373 s, Sim. time: 0.541 TU, Active/Total Cells: 1136/2712
Timestep: 0-1084, Program time: 1.04678 s, Sim. time: 0.542 TU, Active/Total Cells: 1147/2742
